Column1;Column2
TANIK HABER;Otomobil yol süpürme arac?na çarpt?: 1 yaral?https://tanikhaber.com/haber/otomobil-yol-supurme-aracina-carpti-1-yarali-13876…#karabuek#trafik#Kaza#rabianaziçinadalet#ISMAIL#bayraktar#ferdi#OLYvFB#deprem#yunan#SonDakika
TÜRK ?SLAM FEDA?LER?;Gelecek zamanda Ülkenin ba??na gelecek herhangi bir kar???kl?kta,kamunun düzeni a??r? kalabal?k ve yo?unluktan dolay? sa?lanamad???nda,ad?n? duymad???m?z guruplar ortaya ç?kt???nda bu ?nsan?n dedikleri akl?n?za gelsin.#sondakika#???????_????#Be?erEsad#volvo#bayraktar
MorE;"Fetöcu abiler, laik ablalar, özellikle son bir dakikas? size gelsin...#milleticin#bayraktarSizi do?uran anadan yeti?tiren babadan Allah raz? olsun@haluk@Selcuk Haluk Bayraktar:

Biz milletimizin deste?iyle bu ba?ar?lara imza att?k.
Milletimiz sahip ç?kacak ki bir Nuri Demira? gibi, Nuri Killigil gibi, ?akir Zümre gibi olmas?n sonu..

Mutlaka izleyin."
HakYolunda;"?tler Ürür, Kervan Yürür..#Bayraktar#Türkiye Dünya'ya en çok hava arac? satan ülkeler.

Selçuk Bayraktar etkisi..."
FLANKES.;"Damarlar?nda bula??k 
suyu dola?anlar 
bayraktar hakk?nda
olumsuz yorumlar 
yap?yorlar.#Bayraktar"
Kür?ad?n Kini;Olum siz ne ayaks?n?z , dünya tank sanayisini bitirmi? Avrupa dahil dünyan?n her yerine silah ihraç eden , yabanc?lar?n ad?na ?ark? yapt??? bir firmay? tan?m?yor isen Zeynel sende bir s?k?nt? var demektir.!!#Bayraktar Terör örgütü PKK'ya kök söktüren, 15 binden fazla PKK’l? teröristi imha eden, bütün dünyan?n bildi?i S?HA'lar?n üreticisi Baykar'? tan?mayan bir milletvekilin var Türkiye!CHP ?stanbul Milletvekili Zeynel Emre:Ben ilgili ?irketi (Baykar) tan?m?yorum. ?n?allah memlekete
Doruk Güngör;"atatürk dü?man? itlerle i?imiz olmaz sonuçta amerika da savunma sanayi edistürisinde geli?mi?? önemli olan iyi olmak de?il hay?rl? olmak#Bayraktar#TuerkiyeninHuzuru#TuerkiyeLaiktirLaikKalacak#secimsonuclar?#TuerkiyeYuezy?l? ""Selçuk Bayraktar bu milletin
kabul olmu? duâs?d?r."" NOKTA"
A.Topcu;"Bu yolda kaç ?ehit verildi?
Flood u okuyun lütfen.#Baykar#Bayraktar 1- Mert Bayraktar kimdir?

Türkiye'nin Gururu TSK'nin vurucu gücü S?HA (Silahl? ?nsans?z Hava Arac?) projesinin beyinlerinden biri olan Mert Bayraktar, Selçuk Bayraktar'?n amca o?lu idi.."
Canan Ba?tu? Uslu;"Ya Korumuzla Kavrulaçaks?n?z ;
Ya da “BOZKURT’lara AV Olacaks?n?z !!!”

Vatan dedi?in bu aslanlar, bir de bunlar? do?uran aslan analar…Cuman?z mübarek olsun…
Selam ve dua ile,,, hay?rl? sabahlar#Cuma#bayram#Bayraktar"
Erkan Bak?rhan;"Filistin atasözü :

“Ülkenizin arslanlar?na sahip ç?k?n, yoksa dü?manlar?n?z?n köpeklerine yem olursunuz !”#Bayraktar"
Metin Y.;"Ahmet ?im?irgil Hocam'dan muhte?em durum tespiti... Lütfen kö?e yaz?s?n? okuyal?m ve yayal?m ki dü?man? çok uzakta arama gafletinden kurtulal?m...#Bayraktar#HalukBayraktar#Ahmet?im?irgil#Kadem#AbdullahGüler AK Parti Grup Ba?kan? Abdullah Güler ve Kadem, millete inat yine ayn? ki?ilere kol kanat gerici ve milleti suçlay?c? “X”ler atmay? sürdürdüler.
?imdi bunlar AK Parti’ye oy mu kazand?rm?? olmaktad?r?https://turkiyegazetesi.com.tr/kose-yazilari/prof-dr-ahmet-simsirgil/kimin-ekmegini-yaglarsin-642788?s=09…"
A@rkan;"ADAM dünya sava? literatürünü alt üst etti.Sava? tanklar? bir anda hurdaya ç?kt?.Böyle bir ki?inin içimizden ç?kmas?ndan m? rahats?zs?n?z?

?akir Zümre gibi soba fabrikas? olsun isteyen içimizdeki hainlere inat bu memleketin öz evlatlar?yla her daim gurur duyaca??z.#Bayraktar"
Tamer Arslan;Bir PKK rahats?z, birde y?rt?k Kondom dan dünyaya gelen'#BayraktarHay?rl? Cumalar
Davut KARA;"@haluk#BAYRAKTAR@Selcuk#BAYRAKTARBu ÜLKEN?N
M?LL? KAHRAMANLARIDIREmperyalizm ve
Güdümündeki Kandil destekli
Çizgiyi be?enen sevicisi Selamc?s? sempatizan? DEM'lenenleriBu M?LLET
Ne Unutur Ne Yutar
Ne de Ülke Yönetimine f?rsat verir 15 bin pkk'l? teröristin etkisiz hale getirilmesinde aktif rol oynayan,Terör örgütü pkk'n?n belini k?ran,Karaba?'da 30 y?ll?k i?gali bitiren,Libya’da darbecilerin elindeki iktidar? me?ru hükümete geri veren,Ukrayna'da direni?in sembolü haline gelerek ad?na"
Ay_Y?ld?z;"EKO’nun, Tasmal? Trollar?na Gelsin.!!!!

Ta Ukrayna’dan… KUDURUN…#Bayraktar"
Osman ?????;Tek vasf? damat olmak diyenlere gelsin. Bu milletin öz ve öz evlad?d?r, karde?imizdir, yigididir. Agabeyi Haluk Bayraktarda ayn? ?ekilde.#Bayraktar
ibrahim demir;bir yerden emir gelmi? gibi Bayraktarlara sald?r?yorlar. kudurun o.çlar#Bayraktar
Ahmet Halit Vanl?o?lu;"Tüm engelleme çabalar?na ra?men Bu azim bu ba?ar? sadece maddi de?il Türkiye'nin gelece?i binlerce gencin kalbine paha biçilmez öz güven hediye ettiniz hem destek hem örnek oldunuz. 

ALLAH RAZI OLSUN#selcukbayraktar#baykar#bayraktar"
Er-khan;#Bayraktar?n savunucular?y?z Selçuk Bayraktar'?n avukat?y?m ! x.com/myzccc/status/…
ahmet yasar;"küfür hakarette etseniz tehditte etseniz ne erk acarer ne metin cihan ne de benzerleri susup t?rsmayacaklar bu çok net

Önce i?birli?i sonra çökme#canl?#baýraktar#ayhanborakaplan#gündem#h...https://youtube.com/live/4BpIxk5jHy4?si=mMT80Vw13TWvMjWo…@YouTubearac?l???yla"
lagunigha;"Ülke için yarar? olan herseyden herkesten rahats?z oluyorsunuz siz bu ülkenin çocuklar? de?il misiniz??
Yoksa...?Ne faydan oldu da bu ülkeye Selçuk Bayraktar ? elestiriyorsun antilop#baykar#bayraktar@Selcuk"
Ahmet Halit Vanl?o?lu;"Selçuk Bayraktar’?n Erdo?an’?n damad? (2016) olmadan önce ki hayat?

-Robert Koleji
-?TÜ Mühendislik
-Pennsylvania Üni YL
-MIT Uzay Mühendisli?i 2. YL (2006)
-Georgia Tech
-Bayraktar Mini ?HA (2005)
-Malazgirt Mini ?ha (2006)
-TB-2 (2014)#selcukbayraktar#bayraktar#baykar"
EK 8104;"Allah#bayraktarailesinde raz? olsun. Mete Yarar...
Bir kaç gündür ortal?kta havlayan....
Tasmal? köpekleri..
Böyle, manda b*ku gibi duvara yap??t?rm??t?..Adams?n@meteyarar..."
Dada?;"BAYRAKTARLARIN Çemkirme nedeni, gayri me?ru i?ler, TC’nin Irak’a ödeyece?i 3.5 milyar dolar Tazminat..
ORGAN?ZE ??LER BUNLAR

Önce i?birli?i sonra çökme#canl?#baýraktar#ayhanborakaplan#gündem#h...https://youtube.com/live/4BpIxk5jHy4?si=rp4Kwlka6vm7YwOQ…via@YouTube"
PeyamaKurd/krd;#Bayraktar: ?irnex paytexta petrolê ye, hilberîna Gabarê zêde bûyehttp://peyamakurd.info/kurmanci/abori/bayraktar-sirnex-paytexta-petrol%C3%AA-ye-hilberina-gabar%C3%AA-z%C3%AAde-b%C3%BBye-67070…#?irnex#Gabar#Petrol#Kurdistan
Elvan Kamburgil;ALLAH CC#BAYRAKTARA?LES?N?N EBED? YÂR YARDIMCISI OLSUN
MehmetNatik1;?ftiran?n eri?emeyece?i hiçbir iffet yoktur...#Bayraktar#BayraktarTB2
Dada? Ruhani;"Türkiye'mizin gururu.

BAYRAKTARIN YANINDAYIZ#Bayraktar"
Dada? Ruhani;"Türkiye'mizin gururu.

BAYRAKTARIN YANINDAYIZ#Bayraktar"
gamze telli;"Yaziyorum siliyorum yaz?yorum siliyorumm
Yok böyle olmayacak al eline  s*lh*
S?radan ba?la diyorum....

?eytan  git ba??mdan...!#BayraktarKarde?lerin Yaln?nday?z#Erdo?an?nYan?nday?z#FilistiniUnutma"
gülseren meral;"Önce i?birli?i sonra çökme#canl?#baýraktar#ayhanborakaplan#gündem#h...https://youtube.com/live/4BpIxk5jHy4?si=mbt-OkhTF_pf8lip…@YouTubearac?l???yla
Emeklerinizehttp://sa?l?k.Neyazsak bo? ülke halk?!Hep ayn? kopyala yap??t?ra inanm??, kendimizi iyinin,kötüsüne lay?k gören!!ARA?TIRMAYAN ,OKUMAYAN!"
sibel;Rabbim sizden Raz? gelsin#Bayraktargururumuzduz. Rabim kesenizi dahada doldursun
Ahmet Halit Vanl?o?lu;Damat oldu?u için Selçuk Bayraktar olmad?, Selçuk Bayraktar oldu?u için damat oldu.#Baykar#Bayraktar
Cengiz ÇA?LAR;"| Bu ülke için en ufak bir çivi çakan, 
Bir tu?la üstüne koyan ki?inin ba??m?z?n üstünde yeri vard?r. |Hele de çok güzel i?ler yapan, yüre?imizdedir.#Bayraktar@Selcuk@haluk"
arabesqueen;Bayraktarlara sald?ran OÇ leri görmekten de g?na geldi. Bu kuduzlar? a??lama vakti gelmedi mi daha…#Bayraktar
Aliyâr;"Dünyadaki say?l? ülkeler onlara ortak olmak için yalvar?yor 
Japonlar geliyor teknoloji istiyor 
Sizin dedi?inize bak?n 
Gerçi size bakarsak kalorifer pete?i sen uçak yap?yorduk hani.keyfinize göre tak?l?n siz ba??n? kuma sokanlar göremez.#Bayraktar"
nurten;Önce i?birli?i sonra çökme#canl?#baýraktar#ayhanborakaplan#gündem#h...https://youtube.com/live/4BpIxk5jHy4?si=jJcjxKi4lZkbcFHT…via@YouTube
Murat Ba?;Bu Ülkenin Milli gururu olmu? Baykar?, Ülkeye toptan sald?r?ya geçmi? tasmal? tasmas?z köpeklere, sahiplerine yedirmeyece?iz.#tasmal?köpeklerinizesahipç?k?n#tasmal?tasmas?zlar#ekremintasmal?lar?#chpkk#Baykar#Bayraktar
edka®;"?tibars?zla?t?rma planlar?n? ortaya koyanlar okusun...
Benim siyasal ideolojim ne olursa olsun ite, u?ursuza, haine, cigeri be? para etmez güruha Bayraktar in eme?ini, ozverisini, fedakarl???n? kimseye yedirtmem. Millet için çal??an ci?erimin kö?esidir. Yan?nday?z#Bayraktar"
Mehmet Uçar;"Üretim ve deneme uçu?lar? artt?kça bir sald?r? geliyor.
Bilmiyorlarki milletin k?rm?z? çizgisi@BaykarTechailesi.
Yerli ve milli teknoloji hamlesine önem ve çok büyük katk? veren aileye sald?ranlar, sahiii ülkeye katk?n?z nedir yaaaaa#Baykar#Bayraktar"
Grand Turco;#Bayraktar'a sald?ran ve kimlerin taraftar? oldu?u belli olan çaps?za ayar veriliyor#TB2#KIZILELMA#AKINCI Fenerbahçe’nin Bosna Hersek’li futbolcusu Edin Dzeko, tepkiler sonras? Yunan taraftarlara formas?ndaki Türk bayra??n? gösterdi.
servinkilic1980@hotmail.com;"#BayraktarSelçuk ve Haluk dan Rahats?z olan ve kuduranlar listesi;
Kemalistler 
Chpkk 
Dempkk 
Rumo?lu ekrem 
Dhkpc 
PKK 
Vatan hainleri 
Fetopkk 
Bat? 
ABD 
?srail 
Hepsininde can? cehenneme Sanatç? ve sanat? 

Kudurun la tasmal?lar :)"
Kadir;"PKK ve ?srail k?vrand?kça..
?çimizdekiler#Bayraktarlara sald?r?yor.."
Janti;Soldaki kuyruk sa?daki ?BB’nin yurtta verdi?i ucuz yemek için#Hamas#Gaza#Bayraktar#SONDAK?KA
Janti;Soldaki yalan  Sa?daki tamamen gerçek#Hamas#Gaza#SONDAK?KA#Bayraktar
Öz?? Y??????z;"@Selcuk@haluk#Bayraktar'?
M?LLÎ;
olmayan,
olamayan,
olmas? istenmeyen,
Fas?k,
Münaf?k,
Sat?l?k,
Hain,
Dönek,
Dönme,
Dinsiz,
?mans?z,
Türk,
Türk/?slâm,
Müslüman DÜ?MANI OLAN K???lere SORMAYIN.
sorars?n?z hiç de do?ru,hay?rl?,objektif bir YORUM ALAMAZSINIZ.#BayraktarGURURUM"
Bahad?r AKBABA;Siz bu adamlara kollan?yor diyorsunuz öylemi tabii ki kollanmal?lar hemde ölümüne kollanmal?lar heykel yapm?yorlar diye sald?r?yorsunuz de?il mi denyolar yan?n?zday?z#Bayraktar 15 bin pkk'l? teröristin etkisiz hale getirilmesinde aktif rol oynayan,Terör örgütü pkk'n?n belini k?ran,Karaba?'da 30 y?ll?k i?gali bitiren,Libya’da darbecilerin elindeki iktidar? me?ru hükümete geri veren,Ukrayna'da direni?in sembolü haline gelerek ad?na
ADIM HABER;Irak’?n kuzeyinde 3 PKK’l? terörist etkisiz hale getirildihttps://adimhaber.com/irakin-kuzeyinde-3-pkkli-terorist-etkisiz-hale-getirildi-3/…Selçuk bayraktar#terör#?rak#savunmasanayi#Bayraktar
ADIM HABER;Bakan Bayraktar: Gabar’da 40 bin varil günlük üretimi geçmi? bulunuyoruzhttps://adimhaber.com/bakan-bayraktar-gabarda-40-bin-varil-gunluk-uretimi-gecmis-bulunuyoruz/…#Bayraktar
Dr. Alican DOVLETOV;Hayat?nda hiç bir bok olamam?? toynakl?giller ülke ekonomisine en büyük katk? sa?layan#KOÇve#BAYRAKTARailelerine bok atmaya çal???yor.
Öz?? Y??????z;"@Selcuk#Bayraktar? savunmayaca??mda kimi savunaca??mKarde?imBEN?M ?Ç?N DEOnun avukatl???""MADALYADIR KARDE??M,
MADALYA""#Bayraktar"
Öz?? Y??????z;"BEN?M ?Ç?N DEOnun avukatl??? 
""MADALYADIR KARDE??M,
MADALYA""#Bayraktar Mete Yarar’?n dedi?i gibi
SELÇUK BAYRAKTARIN AVUKATIYIM 
Ya sen?"
Bir psikopat Baba;Babas?n?n te?kilatta çay bile da??tmas?na izin vermedi?i x ki?iler,@haluk@Selcukgibi karde?leri ele?tiriyor. Siz onlar?n t?rna?? olamazs?n?z. Sonuna kadar da arkas?nday?z ..#baykar#bayraktar
TR;Bayraktar halka aç?lsa bu kadar çok laf edilmez bence B?ST 100'e dahil edilmeli#Bayraktar#fenerinmacivar#bist100#Gaza@Selcuk
PeyamaKurd/krd;#Bayraktar: ?irnex paytexta petrolê ye, hilberîna Gabarê zêde bûyehttp://peyamakurd.info/kurmanci/abori/bayraktar-sirnex-paytexta-petrol%C3%AA-ye-hilberina-gabar%C3%AA-z%C3%AAde-b%C3%BBye-67070…#?irnex#Gabar#Petrol#Kurdistan
hsyn@A;"CHP'nin derdi hizmet de?il... 
PKK'l?lara da?lar? zehir eden
 S?HA'lar ve ?HA'lar oldu?unu anlad?n?z m?.#Cumhurba?kan?#BayraktarTB3#Bayraktar#Baykar"
Kral ?akir;"SAH?PS?Z ?T SORUNUNA ?LK MÜDAHALE@halukdan GELM??.
?BB N?N TASMALI ?TLER?N? ANASININ A.INA SOKMU? KRAL.
HELAL OLSUN SANA.
KAR?INA K?M ÇIKARSA ÇIKSIN HEPS?N?N A.M.K .?IZ#HalukBayraktar#Bayraktar#fenerinmacivar#Panathinaikos#???????_????#Haniyeh#Israel#Gaza"
";";"?imdi bu adam? ele?tirip, a?a?? çekmeye çal??an organize olmu? bir kitle var.Bu adam?n yapt???n? yak?n zaman içinde yapan kaç ki?i var?Elimizdekilerin de?erini bilmiyoruz, sahip ç?km?yoruz, hakk?n? vermiyoruz.Ülkenin bir de?eridir, markas?d?r.@haluk@Selcuk#bayraktar#siha#iha ?ngiliz the Guardian;

“Selçuk Bayraktar’?n dünya savunma sanayisine verdi?i zarar 16 TR?LYON DOLAR. 

Art?k tanklar?n bir önemi kalmad?.”"
OSMANLI;Depremden hemen  sonra bölgeye giden Selçuk Bayraktar'?n sar?n etraf?n? diyen DAYI  sen adam?n dibisin..#k?rm?z?çizgimiz#Bayraktar
Elvan Can ÇABUK;"Öncelikle@halukbeyi bir i? insanina yak??mayan sözleri için k?n?yorum.
Fakat#bayraktarailesi devletin imkanlar? ile de?il her ?irkete sunulan destekleri ile bugün savunma sanayinde ki ürünlerini geli?tirdi ve ülkemizi bu alanda say?l? ülkeler s?n?f?na soktular, saolsunlar."
Selcuk Mutlu;#bayraktarailesine laf edenin kan? bozuktur. Pkk li, Ermeni ya da Yunan artigidir.
Vesile @TCmelek2 @VesileTCmelek21;Bilecik Merkez tavuk bahanesiyle köpekleri öldü**n ?er*f yoksunu K*T?L@bilecikvaliligi@BilecikEmniyet#Terbiyesiz#HayvanHaklar?Anayasa#SokakHayvanlar?SahipsizDe?il#Guendem#SONDAKIKA#ElifNurYel#Cumhurba?kan?Erdo?an#PolisNe?stiyor#Evans#Bayraktar#AtleticoMadrid
PeyamaKurd/krd;#Bayraktar: ?irnex paytexta petrolê ye, hilberîna Gabarê zêde bûyehttp://peyamakurd.info/kurmanci/abori/bayraktar-sirnex-paytexta-petrol%C3%AA-ye-hilberina-gabar%C3%AA-z%C3%AAde-b%C3%BBye-67070…#?irnex#Gabar#Petrol#Kurdistan
sml;Siyonizmin ?imdiki hedefi@Selcukve@haluk#Bayraktar…
keloglan;"Selçuk Bayraktar üzerinde#Bayraktarailesine sald?ran s?rtlan sürüsü unutmas?n ki ba?ta#SelçukBayraktarolmak Bayraktar ailesi milli meselemizdir.
Bunlardan önceki Türkiye yi de iyi biliyoruz. Ba?kas?n?n gaz?na gelip milli de?erlerimize kimse laf söylemeye kalkmas?n..."
sml;Siyonistlerin yeni hedefi@Selcukve@haluk#Bayraktar…
sml;Siyonistlerin yeni hedefi@Selcukve@haluk#Bayraktar…
Harun Öztürk;Ustada kal?rsa bu öksüz yap?, onu sürdürmeyen ç?rak utans?n.#VeciHürkus#NuriDemirag#NuriK?ll?gil#Bayraktar
Ahmet Halit Vanl?o?lu;"?ki karde? i? bölümü yapm??!

Selçuk, da?daki itleri;
Haluk, sokaktaki itleri vuruyor.

Havlamalar? bo?una de?il!#Bayraktar#Baykar"
Grand Turco;"Siz heykel pe?inde ko?arken, birileri düz duvara helikopter kondurmaya çal???yordu.

Laiklikle u?ra?aca??n?za paradigma dönü?ümünü kovalasayd?n?z, bir k?ymetiniz olabilirdi.

Velhas?l, on f?r?n ekmek yemek dahi size fayda etmez.#Bayraktar Erdo?an'?n damad? olmasa drone'la havadan miting görüntüsü çekecek adam? ba??m?za teknolojisi dehas? yapt?lar. x.com/importantcilik…"
?SMA?L ÖZ;Ekrem denilen adam ve avanesi hiç hesab kitap bilmiyor, S?HA üretmenin haricinde hiç bir dü?üncesi olmayan Vatan sevdal?lar?n? zorla Politikaya itiyorlar, i?in güzel taraf? biz#Reis'ten sonra ne olacak derken,bize gerçek bir seçenek sunuyorlar.#?ran#Bayraktar#savas#yunan
Kerahat Vakti;Hakan Bayraktar’?n bahsetti?i itler havlamaya ba?lam??lar…#Bayraktar
Oktay ?ahiner;"Al?n size memleket dü?man? bir gavat…#Bayraktar CHP ?stanbul milletvekili Sezgin Tanr?kulu : 

“Sihalar Etik de?il, sava??nda bir adab? var, böyle bir yöntem hukuk devletinde olmaz !”Yunan milletvekili Kyriakos Iosif Velopoulos : 

“Ege'de Bayraktar S?HA'lar uçuyor. Fransa'dan 200 Rafale sava? uça?? alsak ne olacak?”"
?SMA?L ÖZ;Ekrem denilen adam ve avanesi hiç hesab kitap bilmiyor, S?HA üretmenin haricinde hiç bir dü?üncesi olmayan Vatan sevdal?lar?n? zorla Politikaya itiyorlar, i?in güzel taraf? biz#Reis'ten sonra ne olacak derken,bize gerçek bir seçenek sunuyorlar.#?ran#Bayraktar#savas#yunan
Kerahat Vakti;Hakan Bayraktar’?n bahsetti?i itler havlamaya ba?lam??lar…#Bayraktar
Oktay ?ahiner;"Al?n size memleket dü?man? bir gavat…#Bayraktar CHP ?stanbul milletvekili Sezgin Tanr?kulu : 

“Sihalar Etik de?il, sava??nda bir adab? var, böyle bir yöntem hukuk devletinde olmaz !”Yunan milletvekili Kyriakos Iosif Velopoulos : 

“Ege'de Bayraktar S?HA'lar uçuyor. Fransa'dan 200 Rafale sava? uça?? alsak ne olacak?”"
Nûçexane Tenê Nûçe;#Bayraktar: ?irnex paytexta petrolê ye, hilberîna Gabarê zêde bûyehttp://peyamakurd.info/kurmanci/abori/bayraktar-sirnex-paytexta-petrol%C3%AA-ye-hilberina-gabar%C3%AA-z%C3%AAde-b%C3%BBye-67070…#?irnex#Gabar#Petrol#Kurdistan
PeyamaKurd/krd;#Bayraktar: ?irnex paytexta petrolê ye, hilberîna Gabarê zêde bûyehttp://peyamakurd.info/kurmanci/abori/bayraktar-sirnex-paytexta-petrol%C3%AA-ye-hilberina-gabar%C3%AA-z%C3%AAde-b%C3%BBye-67070…#?irnex#Gabar#Petrol#Kurdistan
___turk1453;?srail mosad ülkede iyi çal???yor. ?çimizde o kadar çok ajan? var ki! Önce devlet israile yard?m ediyor yalan?, uça yak?t? veriyor yalan?, ?imdide itt gibi#Baykar#Bayraktarkarde?lere sald?r?yorlar!Bunlardan rahats?z olan ya teröristtir, ya israil köpee?i! Rhats?z olanda belli!
EgemenAlp;"Vatan hainleri Türkiye ilerlemesindiye
Vecihi Hürku?'u,
Nuri Demira?'?,
Nuri Killigil'i
?akir Zümre'yi
Devrim otomobilini
Aselsan?n üretti?i cep tefonunu
Engellediler, ço?unun mal varl???n? elinden ald?lar.
?imdi hedeflerinde#Baykarve#BayraktarAilesi var."
Semih Uygur;Köpeksiz köyde de?neksiz dola?mak...#Bayraktar Selçuk Bayraktar çama??r, bula??k makinas?, buzdolab?, ankastre mutfak, kahve makinas? yapm?? olsayd? Sezgin Tanr?kulu gibiler hoplar m?yd??
srkajol!! Gülkara;AHH AAHHH O ESKI BAYRAMLAR DIYORLAR BENDE DIYORUM KI BAYRAMLAR HEP AYNI INSANLAR DEYIL .. AYNAYA BAKIN BIR...YETISTIRDIYINIZ NESILLER SIZLERIN ESERI .....#EidMubarak#BayramTatili#BayramDemek#Bayraktar
Ahmet ?ipak;"Bayraktar a Kim Kar?? dir 
Ermenistan 
ABD e 
Fransa 
israil 
Ne kadar it kopuk varsa hepsi#Bayraktara kar?? acaba neden"
DrSemaNur;Çok ahats?z olacaks?n?z….#?ha#Siha#K?z?lelma#Kaan#Bayraktar
?dris Cin;"?er çetesi ve bunlar?n pe?ine tak?lanlar ?imdi de#Bayraktarailesini a??zlar?na sak?z yapm??lar. 

Hiç bo?una u?ra?may?n, bu millet sand??a gitmez, tepkisini sand?kta koyar ama ?unu bilin ki: kendisine ve devletine hizmet edenlerle ihanet edenleri gayet iyi ay?r?r."
Hasan Türker;"Da?daki iti vuruyoruz yas?n? CHP tutuyor 

Siha'yla Dünyaya göz da?? veriyoruz 
?BB ?eysini rahats?z ediyoruz.!

Nedir ulan kar?n a?r?n?z;
Gahpelik yapmay?n,
~ Geneti?inizi aç?kça söyleyece?iniz günü bekliyoruz.! 

Çok ahats?z olacaks?n?z#?ha#Siha#K?z?lelma#Kaan#Bayraktar"
ibrahim DO?AN;"?bb’nin ba??ndaki ?ah?s.!!

Ülkenin milli de?erlerine laf uzatmak yerine i?ini yap.!! Trafi?e çözüm bul Trafi?e.!!!

Ula??m ile alakal? tek bir projen yok.!!#RamazanBayram?#bayramlar#bayram#Bayraktar#Per?embe#fenerinmacivar"
Tamer Arslan;"#Bayraktar? Sezgin Tanr?kulu na sormay?n!
Ekrem ?mamo?lu nun PKK l? köpekleri"
fatihefe;"Hay?rd?r; bir s?k?nt? m? var.#DevletinAsilEvlatlar?#Bayraktar#DevletiminYan?nday?m"
Elmal?-Davas?;"#Elmal?Çocuklar?NeredeMagdurÇocuklara yap?lan
?grenç oyunlar?
Gör Türkiye'mÇocuklar Korunmuyor#ÇocukSusarSenSusma#Susturuluyor#ÇocuklarCezaland?r?ld?#Sap?klarKorundu#BayramDemek#BayramdanBayrama#bayramlar#SonDakika#Bayraktar#AdaletNerede#FilmBittiAKP#Erdo?an?stifa Say?n bakan@AliYerlikaya; en az fenomenler dosyas? kadar elzem bir konu bu..

UC?M özelinde bildi?im ne varsa sizlerle, Cumhuriyet Savc?lar?m?zla ve kolluk te?kilat?m?zla payla?maya haz?r?m. x.com/YelizzKoray/st…"
Meriç;"Bugün böyle bisi gördü bu gözler 
Bukadar nas?l kör ve nankör olunabilir akl?m alm?yor..  
?aka gibiler ama kötü bir ?aka#Bayraktar"
Naci Taban;Tüm tasmal? itler, gev?ekler ileti?imi artt?r?p görüntülenme artt?rman?n yolunu buldu.#Bayraktar'lara sald?r?p yalan iftira at?nca bizlerde onun öyle olmad???n? mentine yazarak ispat derdine dü?üyoruz. Al sana etkile?im, al o tasmal? ite gelir !
mustafa ikizo?lu;"WC Ücretleri birçok ilde 
15 TL olmu?.
Eee girdi maliyetleri art?nca, 
Ç?kt? maliyetleri de artacak haliyle..Diyorlar#bayram#Bayraktar#BayramGelmi?EmeklininNeyine#israilesevkiyat?durdur#AKPsiz hergünBize bayramm?? bilemedik"
Vatanda?;"Terör örgütleri ve devletleri insanlara Mehmetçiklere filistinlilere k?yarken hukuk akl?n?za geliyor mu?
Yoksa zalimlerin iç hukuku mu akl?n?zda olanlar.
Vurulurken ciyak ciyak!
Vururken kans?z devrimcilik ayaklar?!!!#chp#sezgintanrikulu#?ifa#Bayraktar#???????_???? CHP ?stanbul milletvekili Sezgin Tanr?kulu : 

“Sihalar Etik de?il, sava??nda bir adab? var, böyle bir yöntem hukuk devletinde olmaz !”Yunan milletvekili Kyriakos Iosif Velopoulos : 

“Ege'de Bayraktar S?HA'lar uçuyor. Fransa'dan 200 Rafale sava? uça?? alsak ne olacak?”"
Elif;Dünya sava??n e?i?indeyken milli savunma gücümüz#Bayraktarile gurur duymayanlar vatan sevgisinden bahsetmesin. Allah aya??n?za ta? de?dirmesin. Yolunuz aç?k olsun#Bayraktar Haluk Bayraktar:KIZILELMA uçuyor, AKINCI uçuyor, bir Yunan ba?piskoposu takdir etmiyor, bir de bu zihniyet. Niye?Ben bu ülkenin en büyük ihracat?n? yapan firman?n ba??nday?m. Benim siyasete girme gibi bir derdim neden olsun?
Ufuk;Millet sizinle Bayraktar?n ad?n? ayn? cümlede bile kullanmak istemiyor ama ne yaz?kki mecbur kal?yor... örnek verirsek set gibi...havlayan kuduz  köpe?ide sevmezsin ama ho?t dersin gibi. Bazen istemeden etkile?im oluyor..#Bayraktark?rm?z? çizgimiz....
Veske;Heykel yapmay? medeniyet sanan zavall? bir zihniyete Selçuk Bayraktar’? geli?en teknolojiyi, anlatamazs?n. Onlar?n beyinleri alkol, e?lence, deniz den ba?ka bi?eyi idrak edemez. Ama sana köpek gibi de sald?r?rlar. Onlara en güzel cevap Ho?t olur.#Bayraktar#ho?t
Esin_64;"E??k heykelinden ba?ka hiç bir projesi olmayan CHP'liler kalkm?? Baykar'? hedef alm??..#Ho?tGidin denginizle oynay?n..
Baykar size 10 gömlek büyük gelir..

HADD?N?Z? B?L?NSELÇUK BAYRAKTAR GURURUMUZDUR#Bayraktar#BaykarElkassam Tugaylar? Gitme Meral Ak?ener"
Münzevi;#Bayraktar#Siha#SelçukBayraktara çamur atanlar utan?r m? acaba, hiç sanmam. Sat?l?k köpekler!
U_€§;Bu sorospu çocu?una iyi bakin@mehmetandac_denilen vatansiz köpek dün bu ülkenin gruru olan@BaykarTechve#Bayraktarailesine saldiran sorospu cocuklarindan biri ekrem analarini iyi düzüyor ?BB'nin Ö?renci Yurtlar?nda bu ak?am verilen yemek sosyal medyada gündem oldu.
